"filename", "language", "JavaScript", "JSON", "JSON with Comments", "Properties", "Markdown", "YAML", "TypeScript JSX", "Gradle", "Java Properties", "Batch", "Objective-C", "C++", "Objective-C++", "XML", "Kotlin", "Swift", "comment", "blank", "total"
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/components/Accordian.jsx", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 53
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/components/AmenitiesCard.jsx", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/components/CustomButton.jsx", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 51
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/components/CustomTextInput.jsx", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 71
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/components/CustomUserInfoCard.jsx", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/components/DescriptionComponent.jsx", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 35
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/components/FacilitesCard.jsx", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/components/GooglePlacesInput.jsx", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 98
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/components/LoadingScreen.jsx", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/components/LongCard.jsx", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 46
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/components/PillComponentForTags.jsx", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/components/ProductImages.jsx", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/components/PropertyTypeCard.jsx", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 62
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/components/SmallCard.jsx", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 80
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/components/SocialLinking.jsx", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 68
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/components/filters/Amenities.jsx", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 65
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/components/filters/Bathrooms.jsx", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 50
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/components/filters/Bedrooms.jsx", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 51
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/components/filters/FilterModel.jsx", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/components/filters/Furnishing.jsx", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 60
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/components/filters/PriceFilter.jsx", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 53
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/components/filters/PropertyCategory.jsx", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
